partition_id,source_string,cuts,partition,segment_count,all_segments_prime,exactly_one_composite_segment,prime_plus_composite,all_nonunit_segments_perfect_powers,alternating_prime_composite,contains_nontrivial_radical_extraction,contains_exactly_one_nontrivial_square_factor,all_segments_squarefree,segment_mobius_values_alternate_sign,product_segments_equals_original,sum_segments_equals_original,concatenation_reconstructs_original
A0,1729,NONE,1729,1,False,True,False,False,False,False,False,True,False,True,True,True
A1,1729,1,1 | 729,2,False,True,False,True,False,True,True,False,False,False,False,True
A2,1729,2,17 | 29,2,True,False,False,False,False,False,False,True,False,False,False,True
A3,1729,3,172 | 9,2,False,False,False,False,False,True,False,False,False,False,False,True
A4,1729,1;2,1 | 7 | 29,3,False,False,False,False,False,False,False,True,False,False,False,True
A5,1729,1;3,1 | 72 | 9,3,False,False,False,False,False,True,False,False,False,False,False,True
A6,1729,2;3,17 | 2 | 9,3,False,True,False,False,False,True,True,False,False,False,False,True
A7,1729,1;2;3,1 | 7 | 2 | 9,4,False,True,False,False,False,True,True,False,False,False,False,True
B0,9271,NONE,9271,1,False,True,False,False,False,False,False,True,False,True,True,True
B1,9271,1,9 | 271,2,False,True,True,False,True,True,True,False,False,False,False,True
B2,9271,2,92 | 71,2,False,True,True,False,True,True,True,False,False,False,False,True
B3,9271,3,927 | 1,2,False,True,False,False,False,True,True,False,False,False,False,True
B4,9271,1;2,9 | 2 | 71,3,False,True,False,False,False,True,True,False,False,False,False,True
B5,9271,1;3,9 | 27 | 1,3,False,False,False,True,False,True,False,False,False,False,False,True
B6,9271,2;3,92 | 7 | 1,3,False,True,False,False,False,True,True,False,False,False,False,True
B7,9271,1;2;3,9 | 2 | 7 | 1,4,False,True,False,False,False,True,True,False,False,False,False,True
