source_string,partition_id,partition,position,segment_string,integer_value,digit_length,factorization,is_prime,is_composite,mobius,mobius_class,euler_phi,integer_sqrt_floor,perfect_square,squarefree,rad_n_distinct_prime_product,squarefree_kernel_odd_exponent,maximal_square_factor,radical_coefficient,simplified_radical,nontrivial_square_extraction,nontrivial_perfect_power,perfect_power_base,perfect_power_exponent,trivial_unit_power,classes
1729,A0,1729,1,1729,1729,4,7 * 13 * 19,False,True,-1,-1,1296,41,False,True,1729,1729,1,1,sqrt(1729),False,False,,1,False,COMPOSITE;SQUAREFREE
1729,A1,1 | 729,1,1,1,1,1,False,False,1,1,1,1,True,True,1,1,1,1,1,False,False,,0,True,UNIT;PERFECT_SQUARE;SQUAREFREE
1729,A1,1 | 729,2,729,729,3,3^6,False,True,0,0,486,27,True,False,3,1,729,27,27,True,True,3,6,False,COMPOSITE;PERFECT_POWER;PERFECT_SQUARE;HAS_SQUARED_PRIME_FACTOR
1729,A2,17 | 29,1,17,17,2,17,True,False,-1,-1,16,4,False,True,17,17,1,1,sqrt(17),False,False,,1,False,PRIME;SQUAREFREE
1729,A2,17 | 29,2,29,29,2,29,True,False,-1,-1,28,5,False,True,29,29,1,1,sqrt(29),False,False,,1,False,PRIME;SQUAREFREE
1729,A3,172 | 9,1,172,172,3,2^2 * 43,False,True,0,0,84,13,False,False,86,43,4,2,2*sqrt(43),True,False,,1,False,COMPOSITE;HAS_SQUARED_PRIME_FACTOR
1729,A3,172 | 9,2,9,9,1,3^2,False,True,0,0,6,3,True,False,3,1,9,3,3,True,True,3,2,False,COMPOSITE;PERFECT_POWER;PERFECT_SQUARE;HAS_SQUARED_PRIME_FACTOR
1729,A4,1 | 7 | 29,1,1,1,1,1,False,False,1,1,1,1,True,True,1,1,1,1,1,False,False,,0,True,UNIT;PERFECT_SQUARE;SQUAREFREE
1729,A4,1 | 7 | 29,2,7,7,1,7,True,False,-1,-1,6,2,False,True,7,7,1,1,sqrt(7),False,False,,1,False,PRIME;SQUAREFREE
1729,A4,1 | 7 | 29,3,29,29,2,29,True,False,-1,-1,28,5,False,True,29,29,1,1,sqrt(29),False,False,,1,False,PRIME;SQUAREFREE
1729,A5,1 | 72 | 9,1,1,1,1,1,False,False,1,1,1,1,True,True,1,1,1,1,1,False,False,,0,True,UNIT;PERFECT_SQUARE;SQUAREFREE
1729,A5,1 | 72 | 9,2,72,72,2,2^3 * 3^2,False,True,0,0,24,8,False,False,6,2,36,6,6*sqrt(2),True,False,,1,False,COMPOSITE;HAS_SQUARED_PRIME_FACTOR
1729,A5,1 | 72 | 9,3,9,9,1,3^2,False,True,0,0,6,3,True,False,3,1,9,3,3,True,True,3,2,False,COMPOSITE;PERFECT_POWER;PERFECT_SQUARE;HAS_SQUARED_PRIME_FACTOR
1729,A6,17 | 2 | 9,1,17,17,2,17,True,False,-1,-1,16,4,False,True,17,17,1,1,sqrt(17),False,False,,1,False,PRIME;SQUAREFREE
1729,A6,17 | 2 | 9,2,2,2,1,2,True,False,-1,-1,1,1,False,True,2,2,1,1,sqrt(2),False,False,,1,False,PRIME;SQUAREFREE
1729,A6,17 | 2 | 9,3,9,9,1,3^2,False,True,0,0,6,3,True,False,3,1,9,3,3,True,True,3,2,False,COMPOSITE;PERFECT_POWER;PERFECT_SQUARE;HAS_SQUARED_PRIME_FACTOR
1729,A7,1 | 7 | 2 | 9,1,1,1,1,1,False,False,1,1,1,1,True,True,1,1,1,1,1,False,False,,0,True,UNIT;PERFECT_SQUARE;SQUAREFREE
1729,A7,1 | 7 | 2 | 9,2,7,7,1,7,True,False,-1,-1,6,2,False,True,7,7,1,1,sqrt(7),False,False,,1,False,PRIME;SQUAREFREE
1729,A7,1 | 7 | 2 | 9,3,2,2,1,2,True,False,-1,-1,1,1,False,True,2,2,1,1,sqrt(2),False,False,,1,False,PRIME;SQUAREFREE
1729,A7,1 | 7 | 2 | 9,4,9,9,1,3^2,False,True,0,0,6,3,True,False,3,1,9,3,3,True,True,3,2,False,COMPOSITE;PERFECT_POWER;PERFECT_SQUARE;HAS_SQUARED_PRIME_FACTOR
9271,B0,9271,1,9271,9271,4,73 * 127,False,True,1,1,9072,96,False,True,9271,9271,1,1,sqrt(9271),False,False,,1,False,COMPOSITE;SQUAREFREE
9271,B1,9 | 271,1,9,9,1,3^2,False,True,0,0,6,3,True,False,3,1,9,3,3,True,True,3,2,False,COMPOSITE;PERFECT_POWER;PERFECT_SQUARE;HAS_SQUARED_PRIME_FACTOR
9271,B1,9 | 271,2,271,271,3,271,True,False,-1,-1,270,16,False,True,271,271,1,1,sqrt(271),False,False,,1,False,PRIME;SQUAREFREE
9271,B2,92 | 71,1,92,92,2,2^2 * 23,False,True,0,0,44,9,False,False,46,23,4,2,2*sqrt(23),True,False,,1,False,COMPOSITE;HAS_SQUARED_PRIME_FACTOR
9271,B2,92 | 71,2,71,71,2,71,True,False,-1,-1,70,8,False,True,71,71,1,1,sqrt(71),False,False,,1,False,PRIME;SQUAREFREE
9271,B3,927 | 1,1,927,927,3,3^2 * 103,False,True,0,0,612,30,False,False,309,103,9,3,3*sqrt(103),True,False,,1,False,COMPOSITE;HAS_SQUARED_PRIME_FACTOR
9271,B3,927 | 1,2,1,1,1,1,False,False,1,1,1,1,True,True,1,1,1,1,1,False,False,,0,True,UNIT;PERFECT_SQUARE;SQUAREFREE
9271,B4,9 | 2 | 71,1,9,9,1,3^2,False,True,0,0,6,3,True,False,3,1,9,3,3,True,True,3,2,False,COMPOSITE;PERFECT_POWER;PERFECT_SQUARE;HAS_SQUARED_PRIME_FACTOR
9271,B4,9 | 2 | 71,2,2,2,1,2,True,False,-1,-1,1,1,False,True,2,2,1,1,sqrt(2),False,False,,1,False,PRIME;SQUAREFREE
9271,B4,9 | 2 | 71,3,71,71,2,71,True,False,-1,-1,70,8,False,True,71,71,1,1,sqrt(71),False,False,,1,False,PRIME;SQUAREFREE
