N,S_valid,S_equal,S_fail,S_undefined,S_rate_valid,S_rate_all,S_smallest_equal,S_smallest_counterexample,R4_fixed_inputs,S_fixed_inputs,both_fixed,S_universal,T_valid,T_equal,T_fail,T_undefined,T_rate_valid,T_rate_all,T_smallest_equal,T_smallest_counterexample,R4_fixed_inputs_T,T_fixed_inputs,both_fixed_T,T_universal
1,10000,10000,0,0,1.0000000000,1.0000000000,0,-1,100,1,1,true,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
2,10000,2500,7500,0,0.2500000000,0.2500000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
3,10000,3334,6666,0,0.3334000000,0.3334000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
4,10000,625,9375,0,0.0625000000,0.0625000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
5,10000,400,9600,0,0.0400000000,0.0400000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
6,10000,833,9167,0,0.0833000000,0.0833000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
7,10000,206,9794,0,0.0206000000,0.0206000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
8,10000,159,9841,0,0.0159000000,0.0159000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
9,10000,1112,8888,0,0.1112000000,0.1112000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
10,10000,100,9900,0,0.0100000000,0.0100000000,0,1,100,2,1,false,10000,81,9919,0,0.0081000000,0.0081000000,1001,0,100,2,1,false
11,10000,910,9090,0,0.0910000000,0.0910000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
12,10000,209,9791,0,0.0209000000,0.0209000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
