N,S_valid,S_equal,S_fail,S_undefined,S_rate_valid,S_rate_all,S_smallest_equal,S_smallest_counterexample,R4_fixed_inputs,S_fixed_inputs,both_fixed,S_universal,T_valid,T_equal,T_fail,T_undefined,T_rate_valid,T_rate_all,T_smallest_equal,T_smallest_counterexample,R4_fixed_inputs_T,T_fixed_inputs,both_fixed_T,T_universal
1,10000,10000,0,0,1.0000000000,1.0000000000,0,-1,100,1,1,true,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
9,10000,1112,8888,0,0.1112000000,0.1112000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
10,10000,100,9900,0,0.0100000000,0.0100000000,0,1,100,2,1,false,10000,81,9919,0,0.0081000000,0.0081000000,1001,0,100,2,1,false
11,10000,910,9090,0,0.0910000000,0.0910000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
99,10000,102,9898,0,0.0102000000,0.0102000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
100,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
101,10000,280,9720,0,0.0280000000,0.0280000000,0,2,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
999,10000,1002,8998,0,0.1002000000,0.1002000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
1000,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,2,1,false,10000,8100,1900,0,0.8100000000,0.8100000000,1001,0,100,2,0,false
1001,10000,28,9972,0,0.0028000000,0.0028000000,0,2,100,1,1,false,10000,4,9996,0,0.0004000000,0.0004000000,0,2,100,0,0,false
1111,10000,556,9444,0,0.0556000000,0.0556000000,0,2,100,1,1,false,10000,16,9984,0,0.0016000000,0.0016000000,0,2,100,0,0,false
2222,10000,1035,8965,0,0.1035000000,0.1035000000,0,3,100,2,2,false,10000,81,9919,0,0.0081000000,0.0081000000,0,3,100,2,1,false
3333,10000,1981,8019,0,0.1981000000,0.1981000000,0,4,100,1,1,false,10000,256,9744,0,0.0256000000,0.0256000000,0,4,100,0,0,false
4444,10000,2343,7657,0,0.2343000000,0.2343000000,0,5,100,2,2,false,10000,625,9375,0,0.0625000000,0.0625000000,0,5,100,2,1,false
5555,10000,2944,7056,0,0.2944000000,0.2944000000,0,6,100,1,1,false,10000,1296,8704,0,0.1296000000,0.1296000000,0,6,100,0,0,false
6666,10000,3007,6993,0,0.3007000000,0.3007000000,0,7,100,2,2,false,10000,2401,7599,0,0.2401000000,0.2401000000,0,7,100,2,1,false
7777,10000,4256,5744,0,0.4256000000,0.4256000000,0,8,100,1,1,false,10000,4096,5904,0,0.4096000000,0.4096000000,0,8,100,0,0,false
8888,10000,6583,3417,0,0.6583000000,0.6583000000,0,9,100,2,2,false,10000,6561,3439,0,0.6561000000,0.6561000000,0,9,100,2,1,false
9999,10000,10000,0,0,1.0000000000,1.0000000000,0,-1,100,1,1,true,10000,10000,0,0,1.0000000000,1.0000000000,0,-1,100,0,0,true
10000,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,2,1,false,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,2,1,false
10033,9934,1,9933,66,0.0001006644,0.0001000000,0,34,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
31000,1,1,0,9999,1.0000000000,0.0001000000,0,-1,100,1,1,false,10000,8100,1900,0,0.8100000000,0.8100000000,1001,0,100,2,0,false
33000,1,1,0,9999,1.0000000000,0.0001000000,0,-1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
33001,1,1,0,9999,1.0000000000,0.0001000000,0,-1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
