base,width,domain_size,digit,register_N,equality_count,failure_count,universal,maximal_complement
2,4,16,1,15,16,0,true,true
3,4,81,1,40,16,65,false,false
3,4,81,2,80,81,0,true,true
8,4,4096,1,585,16,4080,false,false
8,4,4096,2,1170,81,4015,false,false
8,4,4096,3,1755,256,3840,false,false
8,4,4096,4,2340,625,3471,false,false
8,4,4096,5,2925,1296,2800,false,false
8,4,4096,6,3510,2401,1695,false,false
8,4,4096,7,4095,4096,0,true,true
10,4,10000,1,1111,16,9984,false,false
10,4,10000,2,2222,81,9919,false,false
10,4,10000,3,3333,256,9744,false,false
10,4,10000,4,4444,625,9375,false,false
10,4,10000,5,5555,1296,8704,false,false
10,4,10000,6,6666,2401,7599,false,false
10,4,10000,7,7777,4096,5904,false,false
10,4,10000,8,8888,6561,3439,false,false
10,4,10000,9,9999,10000,0,true,true
16,4,65536,1,4369,16,65520,false,false
16,4,65536,2,8738,81,65455,false,false
16,4,65536,3,13107,256,65280,false,false
16,4,65536,4,17476,625,64911,false,false
16,4,65536,5,21845,1296,64240,false,false
16,4,65536,6,26214,2401,63135,false,false
16,4,65536,7,30583,4096,61440,false,false
16,4,65536,8,34952,6561,58975,false,false
16,4,65536,9,39321,10000,55536,false,false
16,4,65536,10,43690,14641,50895,false,false
16,4,65536,11,48059,20736,44800,false,false
16,4,65536,12,52428,28561,36975,false,false
16,4,65536,13,56797,38416,27120,false,false
16,4,65536,14,61166,50625,14911,false,false
16,4,65536,15,65535,65536,0,true,true
