register_N,input_x,x_mod_N,S_N_x,C_N_defined,C_N_x,S_N_S_N_x,involution_pass,fixed,xmod_factorization,xmod_mu,xmod_phi,xmod_squarefree,xmod_perfect_power,shadow_factorization,shadow_mu,shadow_phi,shadow_squarefree,shadow_perfect_power
8888,1087,1087,7801,true,7801,1087,true,false,1087,-1,1086,true,false,29 * 269,1,7504,true,false
8888,2301,2301,6587,true,6587,2301,true,false,3 * 13 * 59,-1,1392,true,false,7 * 941,1,5640,true,false
8888,3301,3301,5587,true,5587,3301,true,false,3301,-1,3300,true,false,37 * 151,1,5400,true,false
8888,7801,7801,1087,true,1087,7801,true,false,29 * 269,1,7504,true,false,1087,-1,1086,true,false
8888,11357,2469,6419,false,,2469,true,false,3 * 823,1,1644,true,false,7^2 * 131,0,5460,false,false
8888,11375,2487,6401,false,,2487,true,false,3 * 829,1,1656,true,false,37 * 173,1,6192,true,false
10033,1087,1087,8946,true,8946,1087,true,false,1087,-1,1086,true,false,2 * 3^2 * 7 * 71,0,2520,false,false
10033,2301,2301,7732,true,7732,2301,true,false,3 * 13 * 59,-1,1392,true,false,2^2 * 1933,0,3864,false,false
10033,3301,3301,6732,true,6732,3301,true,false,3301,-1,3300,true,false,2^2 * 3^2 * 11 * 17,0,1920,false,false
10033,7801,7801,2232,true,2232,7801,true,false,29 * 269,1,7504,true,false,2^3 * 3^2 * 31,0,720,false,false
10033,11357,1324,8709,false,,1324,true,false,2^2 * 331,0,660,false,false,3 * 2903,1,5804,true,false
10033,11375,1342,8691,false,,1342,true,false,2 * 11 * 61,-1,600,true,false,3 * 2897,1,5792,true,false
31000,1087,1087,29913,true,29913,1087,true,false,1087,-1,1086,true,false,3 * 13^2 * 59,0,18096,false,false
31000,2301,2301,28699,true,28699,2301,true,false,3 * 13 * 59,-1,1392,true,false,11 * 2609,1,26080,true,false
31000,3301,3301,27699,true,27699,3301,true,false,3301,-1,3300,true,false,3 * 7 * 1319,-1,15816,true,false
31000,7801,7801,23199,true,23199,7801,true,false,29 * 269,1,7504,true,false,3 * 11 * 19 * 37,1,12960,true,false
31000,11357,11357,19643,true,19643,11357,true,false,41 * 277,1,11040,true,false,13 * 1511,1,18120,true,false
31000,11375,11375,19625,true,19625,11375,true,false,5^3 * 7 * 13,0,7200,false,false,5^3 * 157,0,15600,false,false
33000,1087,1087,31913,true,31913,1087,true,false,1087,-1,1086,true,false,7 * 47 * 97,-1,26496,true,false
33000,2301,2301,30699,true,30699,2301,true,false,3 * 13 * 59,-1,1392,true,false,3^4 * 379,0,20412,false,false
33000,3301,3301,29699,true,29699,3301,true,false,3301,-1,3300,true,false,17 * 1747,1,27936,true,false
33000,7801,7801,25199,true,25199,7801,true,false,29 * 269,1,7504,true,false,113 * 223,1,24864,true,false
33000,11357,11357,21643,true,21643,11357,true,false,41 * 277,1,11040,true,false,23 * 941,1,20680,true,false
33000,11375,11375,21625,true,21625,11375,true,false,5^3 * 7 * 13,0,7200,false,false,5^3 * 173,0,17200,false,false
33001,1087,1087,31914,true,31914,1087,true,false,1087,-1,1086,true,false,2 * 3^4 * 197,0,10584,false,false
33001,2301,2301,30700,true,30700,2301,true,false,3 * 13 * 59,-1,1392,true,false,2^2 * 5^2 * 307,0,12240,false,false
33001,3301,3301,29700,true,29700,3301,true,false,3301,-1,3300,true,false,2^2 * 3^3 * 5^2 * 11,0,7200,false,false
33001,7801,7801,25200,true,25200,7801,true,false,29 * 269,1,7504,true,false,2^4 * 3^2 * 5^2 * 7,0,5760,false,false
33001,11357,11357,21644,true,21644,11357,true,false,41 * 277,1,11040,true,false,2^2 * 7 * 773,0,9264,false,false
33001,11375,11375,21626,true,21626,11375,true,false,5^3 * 7 * 13,0,7200,false,false,2 * 11 * 983,-1,9820,true,false
