register_N,policy,width,states,equality_count,failure_count,undefined_count,smallest_counterexample,equality_states_if_small,classification
8888,CANONICAL_INTEGER_REVERSAL,4,8888,5104,3784,0,1,not inlined; more than 100,NONCOMMUTING_WITH_EXCEPTIONS
8888,REGISTER_WIDTH_ZERO_PADDED,4,8888,6560,2328,0,9,not inlined; more than 100,NONCOMMUTING_WITH_EXCEPTIONS
10033,CANONICAL_INTEGER_REVERSAL,5,10033,3,10030,0,1,0|474|9559,NONCOMMUTING_WITH_EXCEPTIONS
10033,REGISTER_WIDTH_ZERO_PADDED,5,10033,1,10032,0,1,0,NONCOMMUTING_WITH_EXCEPTIONS
31000,CANONICAL_INTEGER_REVERSAL,5,31000,5,30995,0,1,0|797|8778|22222|30203,NONCOMMUTING_WITH_EXCEPTIONS
31000,REGISTER_WIDTH_ZERO_PADDED,5,31000,1,30999,0,1,0,NONCOMMUTING_WITH_EXCEPTIONS
33000,CANONICAL_INTEGER_REVERSAL,5,33000,7,32993,0,1,0|77|777|8558|24442|32223|32923,NONCOMMUTING_WITH_EXCEPTIONS
33000,REGISTER_WIDTH_ZERO_PADDED,5,33000,1,32999,0,1,0,NONCOMMUTING_WITH_EXCEPTIONS
33001,CANONICAL_INTEGER_REVERSAL,5,33001,5,32996,0,1,0|878|9669|23332|32123,NONCOMMUTING_WITH_EXCEPTIONS
33001,REGISTER_WIDTH_ZERO_PADDED,5,33001,1,33000,0,1,0,NONCOMMUTING_WITH_EXCEPTIONS
