transform,class,width,height,array_sha256,zero_count,one_count,mismatch_vs_original,inverse_mismatch,involutive,empirical_entropy_bits,entropy_preserved,unique_values,histogram,cropped_or_added_pixels,inverse_mae_normalized,inverse_max_error_normalized
identity,exact_index_permutation,1000,1000,fa54573ed95090d473e6296b7bb945c97e3cced2e4a80ed40fc008536b9aa01d,500000,500000,0,0,True,1.0,True,2,"{""0"": 500000, ""1"": 500000}",0,0.0,0.0
transpose,exact_index_permutation,1000,1000,fa54573ed95090d473e6296b7bb945c97e3cced2e4a80ed40fc008536b9aa01d,500000,500000,0,0,True,1.0,True,2,"{""0"": 500000, ""1"": 500000}",0,0.0,0.0
horizontal_reflection,exact_index_permutation,1000,1000,36ca6e55d71f61d44d25781b8cacbf4b020367ed0b7cd06df3b259c3084dc08d,500000,500000,1000000,0,True,1.0,True,2,"{""0"": 500000, ""1"": 500000}",0,0.0,0.0
vertical_reflection,exact_index_permutation,1000,1000,36ca6e55d71f61d44d25781b8cacbf4b020367ed0b7cd06df3b259c3084dc08d,500000,500000,1000000,0,True,1.0,True,2,"{""0"": 500000, ""1"": 500000}",0,0.0,0.0
rotation_90,exact_index_permutation,1000,1000,36ca6e55d71f61d44d25781b8cacbf4b020367ed0b7cd06df3b259c3084dc08d,500000,500000,1000000,0,False,1.0,True,2,"{""0"": 500000, ""1"": 500000}",0,0.0,0.0
rotation_180,exact_index_permutation,1000,1000,fa54573ed95090d473e6296b7bb945c97e3cced2e4a80ed40fc008536b9aa01d,500000,500000,0,0,True,1.0,True,2,"{""0"": 500000, ""1"": 500000}",0,0.0,0.0
rotation_270,exact_index_permutation,1000,1000,36ca6e55d71f61d44d25781b8cacbf4b020367ed0b7cd06df3b259c3084dc08d,500000,500000,1000000,0,False,1.0,True,2,"{""0"": 500000, ""1"": 500000}",0,0.0,0.0
rotation_45_nearest,raster_resampling,1416,1416,0ff217ec806b45c2b89c579479d38bd8c00640c5d04c36132344c855b5dcb162,,,,171131,False,0.8107171908832241,False,2,"{""0"": 1504501, ""255"": 500555}",1005056,0.171131,1.0
rotation_45_bilinear,raster_resampling,1416,1416,a249917705a25f4a90f989c65db75f106634e29b2e6d1d15390c693a7ae5d70a,,,,999984,False,4.6899235278613265,False,255,"{""0"": 1003968, ""1"": 60, ""10"": 360, ""100"": 6148, ""101"": 6160, ""102"": 6408, ""103"": 6616, ""104"": 6712, ""105"": 6908, ""106"": 7128, ""107"": 7304, ""108"": 7484, ""109"": 7684, ""11"": 368, ""110"": 7896, ""111"": 8140, ""112"": 8388, ""113"": 8632, ""114"": 8872, ""115"": 9224, ""116"": 9584, ""117"": 9956, ""118"": 10348, ""119"": 10716, ""12"": 416, ""120"": 11244, ""121"": 12092, ""122"": 12812, ""123"": 13636, ""124"": 14716, ""125"": 16320, ""126"": 19036, ""127"": 25384, ""128"": 19036, ""129"": 16320, ""13"": 460, ""130"": 14716, ""131"": 13636, ""132"": 12812, ""133"": 12092, ""134"": 11244, ""135"": 10716, ""136"": 10348, ""137"": 9956, ""138"": 9584, ""139"": 9224, ""14"": 480, ""140"": 8872, ""141"": 8632, ""142"": 8388, ""143"": 8140, ""144"": 7896, ""145"": 7684, ""146"": 7484, ""147"": 7304, ""148"": 7128, ""149"": 6908, ""15"": 532, ""150"": 6712, ""151"": 6616, ""152"": 6408, ""153"": 6160, ""154"": 6148, ""155"": 5924, ""156"": 5792, ""157"": 5696, ""158"": 5520, ""159"": 5440, ""16"": 560, ""160"": 5344, ""161"": 5204, ""162"": 5116, ""163"": 4944, ""164"": 4912, ""165"": 4732, ""166"": 4680, ""167"": 4536, ""168"": 4444, ""169"": 4396, ""17"": 584, ""170"": 4236, ""171"": 4180, ""172"": 4140, ""173"": 4000, ""174"": 3952, ""175"": 3852, ""176"": 3784, ""177"": 3680, ""178"": 3596, ""179"": 3548, ""18"": 624, ""180"": 3448, ""181"": 3372, ""182"": 3316, ""183"": 3248, ""184"": 3100, ""185"": 3104, ""186"": 3016, ""187"": 2948, ""188"": 2888, ""189"": 2856, ""19"": 660, ""190"": 2752, ""191"": 2728, ""192"": 2612, ""193"": 2604, ""194"": 2552, ""195"": 2468, ""196"": 2388, ""197"": 2372, ""198"": 2320, ""199"": 2216, ""2"": 100, ""20"": 720, ""200"": 2156, ""201"": 2144, ""202"": 2076, ""203"": 2044, ""204"": 2000, ""205"": 1928, ""206"": 1896, ""207"": 1840, ""208"": 1764, ""209"": 1732, ""21"": 740, ""210"": 1684, ""211"": 1644, ""212"": 1588, ""213"": 1532, ""214"": 1512, ""215"": 1484, ""216"": 1404, ""217"": 1368, ""218"": 1352, ""219"": 1288, ""22"": 764, ""220"": 1248, ""221"": 1196, ""222"": 1160, ""223"": 1120, ""224"": 1116, ""225"": 1072, ""226"": 976, ""227"": 956, ""228"": 928, ""229"": 888, ""23"": 800, ""230"": 864, ""231"": 800, ""232"": 764, ""233"": 740, ""234"": 720, ""235"": 660, ""236"": 624, ""237"": 584, ""238"": 560, ""239"": 532, ""24"": 864, ""240"": 480, ""241"": 460, ""242"": 416, ""243"": 368, ""244"": 360, ""245"": 324, ""246"": 272, ""247"": 264, ""248"": 200, ""249"": 204, ""25"": 888, ""250"": 144, ""251"": 124, ""252"": 100, ""253"": 60, ""254"": 24, ""26"": 928, ""27"": 956, ""28"": 976, ""29"": 1072, ""3"": 124, ""30"": 1116, ""31"": 1120, ""32"": 1160, ""33"": 1196, ""34"": 1248, ""35"": 1288, ""36"": 1352, ""37"": 1368, ""38"": 1404, ""39"": 1484, ""4"": 144, ""40"": 1512, ""41"": 1532, ""42"": 1588, ""43"": 1644, ""44"": 1684, ""45"": 1732, ""46"": 1764, ""47"": 1840, ""48"": 1896, ""49"": 1928, ""5"": 204, ""50"": 2000, ""51"": 2044, ""52"": 2076, ""53"": 2144, ""54"": 2156, ""55"": 2216, ""56"": 2320, ""57"": 2372, ""58"": 2388, ""59"": 2468, ""6"": 200, ""60"": 2552, ""61"": 2604, ""62"": 2612, ""63"": 2728, ""64"": 2752, ""65"": 2856, ""66"": 2888, ""67"": 2948, ""68"": 3016, ""69"": 3104, ""7"": 264, ""70"": 3100, ""71"": 3248, ""72"": 3316, ""73"": 3372, ""74"": 3448, ""75"": 3548, ""76"": 3596, ""77"": 3680, ""78"": 3784, ""79"": 3852, ""8"": 272, ""80"": 3952, ""81"": 4000, ""82"": 4140, ""83"": 4180, ""84"": 4236, ""85"": 4396, ""86"": 4444, ""87"": 4536, ""88"": 4680, ""89"": 4732, ""9"": 324, ""90"": 4912, ""91"": 4944, ""92"": 5116, ""93"": 5204, ""94"": 5344, ""95"": 5440, ""96"": 5520, ""97"": 5696, ""98"": 5792, ""99"": 5924}",1005056,0.45713903529411765,0.7098039215686275
rotation_33_nearest,raster_resampling,1384,1384,15e6644b59d68daeb4cc511c77bc52325e898e49bd4c6ada8ab1f74485de2e21,,,,160968,False,0.8282853332862006,False,2,"{""0"": 1415479, ""255"": 499977}",915456,0.160968,1.0
