relative_path,bytes,sha256,bound_audit,binding_status
.DS_Store,8196,31c851c05766eef21c3fa99694d6bdd2de5c905dfbbfbcdde0551b237475f4cf,FINDER_METADATA,NON_SUBSTANTIVE_METADATA
065b8a65-f9e5-42d4-95ba-c32a64bc8979.png,2885421,7c4241a3cfecacc710ffaa8a33f65b4535e003e20198f90f3b06bbbddfc237d3,LQE01_POST_CLOSEOUT_VISUAL_SUPPLEMENT_AND_GRIP_GAP_ANNOTATION_2026-09-09,HASH_BOUND_BYTE_PRESERVED
2d6051d3-aa6e-460c-9d9f-78b4e82c6248-1.png,2597900,10df80dd0e9145694fcd197ea37b8512d030d59a7aba704740528636763fce2f,LQE01_POST_CLOSEOUT_VISUAL_SUPPLEMENT_AND_GRIP_GAP_ANNOTATION_2026-09-09,HASH_BOUND_BYTE_PRESERVED
30456fe1-4e20-4c4e-ab19-e9f43b256089.png,2523688,e2cf60d642e31767bf1b9861d3ba447bcb2e83873b6fa82091e5139ee75141e8,LQE01_POST_CLOSEOUT_VISUAL_SUPPLEMENT_AND_GRIP_GAP_ANNOTATION_2026-09-09,HASH_BOUND_BYTE_PRESERVED
3b06a4ac-72f4-442b-b7f7-1496b7e071f8.png,2255551,c40f71ec12b4f0dbcc6702ba873fa8283b6e13ea444216fb597d079f7601cc33,LQE01_POST_CLOSEOUT_VISUAL_SUPPLEMENT_AND_GRIP_GAP_ANNOTATION_2026-09-09,HASH_BOUND_BYTE_PRESERVED
90c21043-6916-402f-a60b-e2a26d1466dc.png,3098055,e2c6836c1d976a18df640cbec498653f69f5e245ec2f4143d113fd9efc5b3ccf,LQE01_POST_CLOSEOUT_VISUAL_SUPPLEMENT_AND_GRIP_GAP_ANNOTATION_2026-09-09,HASH_BOUND_BYTE_PRESERVED
9b9975d4-f082-4136-817c-44b86dc5e3a7.png,2698237,967b4a011e31207e997d78e467ae9ffedae3495ee97024ef2fed8e89fd2c695a,LQE01_POST_CLOSEOUT_VISUAL_SUPPLEMENT_AND_GRIP_GAP_ANNOTATION_2026-09-09,HASH_BOUND_BYTE_PRESERVED
CAT IN THE BASKET.png,2653805,25f1c54aa931910ef8eee832f5121e5caeeb9d179506a1519610508e7f1c6313,CAT_IN_THE_BASKET_PRESERVATION_AND_FORMALIZATION_REVIEW_2026-09-09,HASH_BOUND_BYTE_PRESERVED
"Eyes, bearing, and orientation.png",2392979,2b8f548bdc404c733f7b1efac5a46bf8a60f1107ebffe8feafe08023e931539c,LQE01_LIGHT_OCCLUDER_RECEIVER_GEOMETRY_2026-09-09,HASH_BOUND_BYTE_PRESERVED
"Frames, Time Gaps, And Reconstruction.png",2331798,5b4c4858d94a18ba26c5306b563a9f0bc83b49eb9c887002f459bb1f1a671407,LQE01_LIGHT_OCCLUDER_RECEIVER_GEOMETRY_2026-09-09,HASH_BOUND_BYTE_PRESERVED
