family,weights,representation,stored_scalars,heldout_nmse,max_abs_error
independent,w1_1,FULL8,8,0.0,0.0
independent,w1_1,Q_ONLY7,7,0.13063272126560094,2.3208833930850234
independent,w1_1,Q_PLUS_DELTA8,8,1.0283056307139842e-33,4.440892098500626e-16
independent,w1_1,PCA7,7,0.12479464788674012,2.9865081990527527
independent,w1_1,RANDOM7,7,0.12043852443269613,2.1036277595828756
independent,w1_1,DROP8_TO7,7,0.12966434388356077,3.55326481815219
independent,w3_1,FULL8,8,0.0,0.0
independent,w3_1,Q_ONLY7,7,0.1632909015820011,3.4813250896275347
independent,w3_1,Q_PLUS_DELTA8,8,2.025650471575495e-33,4.440892098500626e-16
independent,w3_1,PCA7,7,0.12479464788674012,2.9865081990527527
independent,w3_1,RANDOM7,7,0.12395898511487552,2.8401036206352015
independent,w3_1,DROP8_TO7,7,0.12966434388356077,3.55326481815219
correlated_pair,w1_1,FULL8,8,0.0,0.0
correlated_pair,w1_1,Q_ONLY7,7,0.005532283394792487,0.4544237302203391
correlated_pair,w1_1,Q_PLUS_DELTA8,8,1.2998539453408697e-33,4.440892098500626e-16
correlated_pair,w1_1,PCA7,7,0.004593487888700566,0.4421864415677819
correlated_pair,w1_1,RANDOM7,7,0.13164593990663787,2.0559607099059583
correlated_pair,w1_1,DROP8_TO7,7,0.09770140505236255,2.9307078543463807
correlated_pair,w3_1,FULL8,8,0.0,0.0
correlated_pair,w3_1,Q_ONLY7,7,0.00691535424349061,0.6816355953305084
correlated_pair,w3_1,Q_PLUS_DELTA8,8,1.2044221458478433e-33,4.440892098500626e-16
correlated_pair,w3_1,PCA7,7,0.004593487888700566,0.4421864415677819
correlated_pair,w3_1,RANDOM7,7,0.14053249335358134,2.130183533117323
correlated_pair,w3_1,DROP8_TO7,7,0.09770140505236255,2.9307078543463807
near_identical_pair,w1_1,FULL8,8,0.0,0.0
near_identical_pair,w1_1,Q_ONLY7,7,2.6413363759447876e-05,0.032956355492191225
near_identical_pair,w1_1,Q_PLUS_DELTA8,8,1.6548896147432236e-33,4.440892098500626e-16
near_identical_pair,w1_1,PCA7,7,2.6433245100390097e-05,0.033078207142139604
near_identical_pair,w1_1,RANDOM7,7,0.07828776676450515,1.7583571184279219
near_identical_pair,w1_1,DROP8_TO7,7,0.12269612676016678,3.23513706533861
near_identical_pair,w3_1,FULL8,8,0.0,0.0
near_identical_pair,w3_1,Q_ONLY7,7,3.3016704699309855e-05,0.04943453323828684
near_identical_pair,w3_1,Q_PLUS_DELTA8,8,1.2169732446132802e-33,4.440892098500626e-16
near_identical_pair,w3_1,PCA7,7,2.6433245100390097e-05,0.033078207142139604
near_identical_pair,w3_1,RANDOM7,7,0.12726084975178736,2.856919679033807
near_identical_pair,w3_1,DROP8_TO7,7,0.12269612676016678,3.23513706533861
near_opposite_pair,w1_1,FULL8,8,0.0,0.0
near_opposite_pair,w1_1,Q_ONLY7,7,0.25108570556623727,3.330308378191233
near_opposite_pair,w1_1,Q_PLUS_DELTA8,8,1.701902002164835e-33,4.440892098500626e-16
near_opposite_pair,w1_1,PCA7,7,2.3603310868456527e-05,0.03346652724447079
near_opposite_pair,w1_1,RANDOM7,7,0.11952951951831561,2.783725120786232
near_opposite_pair,w1_1,DROP8_TO7,7,0.125504698545126,3.357005030720793
near_opposite_pair,w3_1,FULL8,8,0.0,0.0
near_opposite_pair,w3_1,Q_ONLY7,7,0.3138571319577966,4.995462567286849
near_opposite_pair,w3_1,Q_PLUS_DELTA8,8,3.11241264956423e-33,8.881784197001252e-16
near_opposite_pair,w3_1,PCA7,7,2.3603310868456527e-05,0.03346652724447079
near_opposite_pair,w3_1,RANDOM7,7,0.11970972045524719,2.3857181220927144
near_opposite_pair,w3_1,DROP8_TO7,7,0.125504698545126,3.357005030720793
rare_kernel_events,w1_1,FULL8,8,0.0,0.0
rare_kernel_events,w1_1,Q_ONLY7,7,0.2365060599139668,6.784560965406776
rare_kernel_events,w1_1,Q_PLUS_DELTA8,8,1.5169695949225201e-33,8.881784197001252e-16
rare_kernel_events,w1_1,PCA7,7,0.10535187226678332,2.4745877196044943
rare_kernel_events,w1_1,RANDOM7,7,0.1112897480925841,2.1306843123780186
rare_kernel_events,w1_1,DROP8_TO7,7,0.18010306994692335,6.711249155060686
rare_kernel_events,w3_1,FULL8,8,0.0,0.0
rare_kernel_events,w3_1,Q_ONLY7,7,0.2956325748924585,10.176841448110164
rare_kernel_events,w3_1,Q_PLUS_DELTA8,8,2.855464795617191e-33,8.881784197001252e-16
rare_kernel_events,w3_1,PCA7,7,0.10535187226678332,2.4745877196044943
rare_kernel_events,w3_1,RANDOM7,7,0.11321285667355983,2.096939022080212
rare_kernel_events,w3_1,DROP8_TO7,7,0.18010306994692335,6.711249155060686
