case,representation,stored_scalars,pair_distance_nrmse,pair_distance_correlation,adjacent_relative_error_median,adjacent_relative_error_max,path_length_relative_error,turn_angle_mae_degrees,pair_distance_max_abs_error
ieee9,FULL8,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ieee9,Q_ONLY7,7,0.04695530742063206,0.9986455247267518,0.037213831933584116,0.1634639020744317,0.07065467133887961,1.626463378122895,0.5338699869160313
ieee9,Q_PLUS_R8,8,5.74960357138917e-17,1.0,0.0,1.8763604758868404e-16,0.0,5.5288642212774134e-14,8.881784197001252e-16
ieee9,PCA7,7,1.3957014227464504e-07,0.9999999999999843,5.185355218863918e-07,4.91875186471299e-06,1.022036746880927e-06,0.0008498191256388373,2.33829348045278e-06
ieee9,RANDOM7,7,0.007817947935803801,0.9999832335082403,0.002981425422022052,0.061826864492341885,0.006916346857731545,0.7038753583534473,0.053113790499628166
ieee9,DROP_MIN7,7,0.07931539118744806,0.9994325057263985,0.05271280915062747,0.10777932722313303,0.056020700655635164,0.34958047047603047,0.7095013961120955
ieee9,DROP_MAX7,7,0.16543751942174537,0.9774821580700498,0.0,0.5861737934089037,0.15722876635225916,5.762606642617212,1.875704436839781
ieee9,MAINTAINED7,7,0.16543751942174537,0.97748215807005,0.0,0.5861737934089039,0.15722876635225916,5.762606642617169,1.875704436839781
ieee14,FULL8,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ieee14,Q_ONLY7,7,0.012304960925787834,0.9999479183682536,0.007106763132793334,0.023855719610163653,0.011300411230909498,0.24681755963370608,0.059433791241581435
ieee14,Q_PLUS_R8,8,2.3751229852531143e-16,1.0,5.068981950050597e-16,2.2541894707946485e-15,3.1984604540697377e-16,1.4845706704360592e-13,1.3322676295501878e-15
ieee14,PCA7,7,0.004256379474715974,0.9999890568976292,0.0014135296592525152,0.015638077143128554,0.004542878015205015,0.25988113005896135,0.023887209212344995
ieee14,RANDOM7,7,0.06982973560214506,0.9998347404058399,0.053897452434851174,0.08085824198787755,0.05918213439064987,0.23650261198523237,0.331004618584247
ieee14,DROP_MIN7,7,0.024798626826770788,0.9997835504237683,0.014264869040372169,0.04830923495303502,0.022838880092041134,0.6341376070879216,0.1198904926750819
ieee14,DROP_MAX7,7,8.359741096074049e-17,1.0,0.0,2.1570053451469076e-16,0.0,3.056606594612365e-14,8.881784197001252e-16
ieee14,MAINTAINED7,7,5.701832253799388e-17,1.0,0.0,2.1570053451469076e-16,0.0,1.2495370340484979e-13,4.440892098500626e-16
