corpus,carrier_id,series_id,pair,cut,actuator,cycle,value_kind,value_deg,n2_signed_centideg,block2_abs_mod100,station11_hit,n3_signed_millideg,block3_last2_abs_mod100
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c1,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,1,cycle_phase_deg,6.018732398585911,602,2,0,6019,19
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c2,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,2,cycle_phase_deg,5.565439217961,557,57,0,5565,65
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c3,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,3,cycle_phase_deg,5.460184387381361,546,46,0,5460,60
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c4,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,4,cycle_phase_deg,5.395284438973249,540,40,0,5395,95
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c5,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,5,cycle_phase_deg,5.347271356006331,535,35,0,5347,47
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c6,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,6,cycle_phase_deg,5.311331299719512,531,31,0,5311,11
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c7,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,7,cycle_phase_deg,5.27581182008737,528,28,0,5276,76
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c8,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,8,cycle_phase_deg,5.250928660177095,525,25,0,5251,51
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c9,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,9,cycle_phase_deg,5.222177272287411,522,22,1,5222,22
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a1|c10,P05_BEFORE_AFTER_EQ|A|a1,P05_BEFORE_AFTER_EQ,A,1,10,cycle_phase_deg,5.465054949677949,547,47,0,5465,65
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c1,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,1,cycle_phase_deg,5.017500831853141,502,2,0,5018,18
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c2,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,2,cycle_phase_deg,4.801429807058241,480,80,0,4801,1
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c3,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,3,cycle_phase_deg,4.757125193608317,476,76,0,4757,57
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c4,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,4,cycle_phase_deg,4.725056308222122,473,73,0,4725,25
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c5,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,5,cycle_phase_deg,4.690400186594815,469,69,0,4690,90
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c6,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,6,cycle_phase_deg,4.6594219549020295,466,66,1,4659,59
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c7,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,7,cycle_phase_deg,4.637372967890968,464,64,0,4637,37
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c8,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,8,cycle_phase_deg,4.617562567676288,462,62,0,4618,18
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c9,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,9,cycle_phase_deg,4.594723524337184,459,59,0,4595,95
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a1|c10,P05_BEFORE_AFTER_EQ|B|a1,P05_BEFORE_AFTER_EQ,B,1,10,cycle_phase_deg,4.849414422788385,485,85,0,4849,49
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c1,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,1,cycle_phase_deg,5.326649810615351,533,33,1,5327,27
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c2,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,2,cycle_phase_deg,5.079307910724651,508,8,0,5079,79
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c3,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,3,cycle_phase_deg,4.979048218982399,498,98,0,4979,79
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c4,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,4,cycle_phase_deg,4.910532272744149,491,91,0,4911,11
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c5,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,5,cycle_phase_deg,4.855249929460882,486,86,0,4855,55
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c6,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,6,cycle_phase_deg,4.823539228291878,482,82,0,4824,24
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c7,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,7,cycle_phase_deg,4.782527205419797,478,78,0,4783,83
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c8,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,8,cycle_phase_deg,4.750625297081484,475,75,0,4751,51
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c9,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,9,cycle_phase_deg,4.714157368838016,471,71,0,4714,14
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|A|a2|c10,P05_BEFORE_AFTER_EQ|A|a2,P05_BEFORE_AFTER_EQ,A,2,10,cycle_phase_deg,4.577895909677153,458,58,0,4578,78
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c1,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,1,cycle_phase_deg,4.8460383592987455,485,85,0,4846,46
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c2,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,2,cycle_phase_deg,4.529208183971974,453,53,0,4529,29
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c3,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,3,cycle_phase_deg,4.4782982268689295,448,48,0,4478,78
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c4,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,4,cycle_phase_deg,4.439412004573256,444,44,1,4439,39
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c5,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,5,cycle_phase_deg,4.41240706696982,441,41,0,4412,12
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c6,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,6,cycle_phase_deg,4.386541465565557,439,39,0,4387,87
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c7,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,7,cycle_phase_deg,4.368232718412997,437,37,0,4368,68
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c8,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,8,cycle_phase_deg,4.343510555076307,434,34,0,4344,44
