corpus,series_id,from_cycle,to_cycle,from_value_deg,to_value_deg,delta_raw_deg,delta2_signed_centideg,abs_delta2_centideg,target_plus11,janus_minus11,prespecified_control,delta3_signed_millideg,same_physical_plus011_exact_at_p3
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a1,1,2,6.018732398585911,5.565439217961,-0.453293180624911,-45,45,0,0,0,-454,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a1,2,3,5.565439217961,5.460184387381361,-0.10525483057963925,-11,11,0,1,0,-105,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a1,3,4,5.460184387381361,5.395284438973249,-0.06489994840811164,-6,6,0,0,0,-65,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a1,4,5,5.395284438973249,5.347271356006331,-0.048013082966917864,-5,5,0,0,0,-48,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a1,5,6,5.347271356006331,5.311331299719512,-0.035940056286818844,-4,4,0,0,0,-36,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a1,6,7,5.311331299719512,5.27581182008737,-0.03551947963214275,-3,3,0,0,0,-35,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a1,7,8,5.27581182008737,5.250928660177095,-0.024883159910274344,-3,3,0,0,0,-25,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a1,8,9,5.250928660177095,5.222177272287411,-0.028751387889684565,-3,3,0,0,0,-29,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a1,9,10,5.222177272287411,5.465054949677949,0.24287767739053834,25,25,0,0,0,243,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a2,1,2,5.326649810615351,5.079307910724651,-0.24734189989069932,-25,25,0,0,0,-248,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a2,2,3,5.079307910724651,4.979048218982399,-0.10025969174225224,-10,10,0,0,1,-100,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a2,3,4,4.979048218982399,4.910532272744149,-0.06851594623825008,-7,7,0,0,0,-68,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a2,4,5,4.910532272744149,4.855249929460882,-0.055282343283266755,-5,5,0,0,0,-56,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a2,5,6,4.855249929460882,4.823539228291878,-0.031710701169004096,-4,4,0,0,0,-31,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a2,6,7,4.823539228291878,4.782527205419797,-0.04101202287208139,-4,4,0,0,0,-41,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a2,7,8,4.782527205419797,4.750625297081484,-0.031901908338312523,-3,3,0,0,0,-32,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a2,8,9,4.750625297081484,4.714157368838016,-0.036467928243467895,-4,4,0,0,0,-37,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|A|a2,9,10,4.714157368838016,4.577895909677153,-0.1362614591608633,-13,13,0,0,0,-136,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a1,1,2,5.017500831853141,4.801429807058241,-0.2160710247948998,-22,22,0,0,0,-217,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a1,2,3,4.801429807058241,4.757125193608317,-0.04430461344992409,-4,4,0,0,0,-44,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a1,3,4,4.757125193608317,4.725056308222122,-0.032068885386195234,-3,3,0,0,0,-32,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a1,4,5,4.725056308222122,4.690400186594815,-0.03465612162730736,-4,4,0,0,0,-35,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a1,5,6,4.690400186594815,4.6594219549020295,-0.03097823169278513,-3,3,0,0,0,-31,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a1,6,7,4.6594219549020295,4.637372967890968,-0.022048987011061172,-2,2,0,0,0,-22,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a1,7,8,4.637372967890968,4.617562567676288,-0.019810400214680612,-2,2,0,0,0,-19,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a1,8,9,4.617562567676288,4.594723524337184,-0.022839043339104137,-3,3,0,0,0,-23,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a1,9,10,4.594723524337184,4.849414422788385,0.2546908984512015,26,26,0,0,0,254,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,1,2,4.8460383592987455,4.529208183971974,-0.31683017532677127,-32,32,0,0,0,-317,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,2,3,4.529208183971974,4.4782982268689295,-0.05090995710304469,-5,5,0,0,0,-51,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,3,4,4.4782982268689295,4.439412004573256,-0.03888622229567318,-4,4,0,0,0,-39,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,4,5,4.439412004573256,4.41240706696982,-0.027004937603436474,-3,3,0,0,0,-27,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,5,6,4.41240706696982,4.386541465565557,-0.02586560140426286,-2,2,0,0,0,-25,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,6,7,4.386541465565557,4.368232718412997,-0.01830874715255959,-2,2,0,0,0,-19,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,7,8,4.368232718412997,4.343510555076307,-0.024722163336690528,-3,3,0,0,0,-24,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,8,9,4.343510555076307,4.32312493043591,-0.020385624640397282,-2,2,0,0,0,-21,0
ABS_PHASE_72,P05_BEFORE_AFTER_EQ|B|a2,9,10,4.32312493043591,4.2617891477670184,-0.06133578266889117,-6,6,0,0,0,-61,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,2,3,6.1471509260146036,5.8514462699164085,-0.2957046560981951,-30,30,0,0,0,-296,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,3,4,5.8514462699164085,5.644766401386335,-0.20667986853007392,-21,21,0,0,0,-206,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,4,5,5.644766401386335,5.528699328969509,-0.11606707241682557,-11,11,0,1,0,-116,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,5,6,5.528699328969509,5.449195323620415,-0.07950400534909363,-8,8,0,0,0,-80,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,6,7,5.449195323620415,5.408245541710727,-0.040949781909688454,-4,4,0,0,0,-41,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,7,8,5.408245541710727,5.353718915063467,-0.05452662664725949,-6,6,0,0,0,-54,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a1,8,9,5.353718915063467,5.291376494440499,-0.062342420622968575,-6,6,0,0,0,-63,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,2,3,6.117881786269294,5.693993104433474,-0.4238886818358196,-43,43,0,0,0,-424,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,3,4,5.693993104433474,5.447312820284424,-0.24668028414905052,-24,24,0,0,0,-247,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,4,5,5.447312820284424,5.293486965439314,-0.1538258548451097,-16,16,0,0,0,-154,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,5,6,5.293486965439314,5.2189969366777405,-0.07449002876157351,-7,7,0,0,0,-74,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,6,7,5.2189969366777405,5.160571521328791,-0.05842541534894963,-6,6,0,0,0,-58,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,7,8,5.160571521328791,5.124734413418594,-0.03583710791019712,-4,4,0,0,0,-36,0
ABS_PHASE_72,P10_BEFORE_AFTER_EQ|A|a2,8,9,5.124734413418594,5.084534058035956,-0.040200355382637554,-4,4,0,0,0,-40,0
