corpus,offset_centideg,station11_count
ABS_PHASE_72,0,7
ABS_PHASE_72,1,4
ABS_PHASE_72,2,10
ABS_PHASE_72,3,9
ABS_PHASE_72,4,7
ABS_PHASE_72,5,4
ABS_PHASE_72,6,3
ABS_PHASE_72,7,7
ABS_PHASE_72,8,9
ABS_PHASE_72,9,9
ABS_PHASE_72,10,7
ABS_PHASE_72,11,7
ABS_PHASE_72,12,3
ABS_PHASE_72,13,9
ABS_PHASE_72,14,10
ABS_PHASE_72,15,10
ABS_PHASE_72,16,4
ABS_PHASE_72,17,3
ABS_PHASE_72,18,7
ABS_PHASE_72,19,8
ABS_PHASE_72,20,10
ABS_PHASE_72,21,7
ABS_PHASE_72,22,8
ABS_PHASE_72,23,3
ABS_PHASE_72,24,9
ABS_PHASE_72,25,8
ABS_PHASE_72,26,10
ABS_PHASE_72,27,5
ABS_PHASE_72,28,2
ABS_PHASE_72,29,8
ABS_PHASE_72,30,7
ABS_PHASE_72,31,12
ABS_PHASE_72,32,6
ABS_PHASE_72,33,8
ABS_PHASE_72,34,3
ABS_PHASE_72,35,9
ABS_PHASE_72,36,10
ABS_PHASE_72,37,9
ABS_PHASE_72,38,6
ABS_PHASE_72,39,1
ABS_PHASE_72,40,8
ABS_PHASE_72,41,6
ABS_PHASE_72,42,14
ABS_PHASE_72,43,7
ABS_PHASE_72,44,7
ABS_PHASE_72,45,2
ABS_PHASE_72,46,7
ABS_PHASE_72,47,12
ABS_PHASE_72,48,8
ABS_PHASE_72,49,6
ABS_PHASE_72,50,1
ABS_PHASE_72,51,7
ABS_PHASE_72,52,5
ABS_PHASE_72,53,14
ABS_PHASE_72,54,8
ABS_PHASE_72,55,10
ABS_PHASE_72,56,3
ABS_PHASE_72,57,5
ABS_PHASE_72,58,12
ABS_PHASE_72,59,10
ABS_PHASE_72,60,7
ABS_PHASE_72,61,2
ABS_PHASE_72,62,6
ABS_PHASE_72,63,5
ABS_PHASE_72,64,13
ABS_PHASE_72,65,8
ABS_PHASE_72,66,10
ABS_PHASE_72,67,4
ABS_PHASE_72,68,6
ABS_PHASE_72,69,11
ABS_PHASE_72,70,10
ABS_PHASE_72,71,9
ABS_PHASE_72,72,3
ABS_PHASE_72,73,5
ABS_PHASE_72,74,6
ABS_PHASE_72,75,11
ABS_PHASE_72,76,8
ABS_PHASE_72,77,9
ABS_PHASE_72,78,5
ABS_PHASE_72,79,5
ABS_PHASE_72,80,11
ABS_PHASE_72,81,7
ABS_PHASE_72,82,9
ABS_PHASE_72,83,5
ABS_PHASE_72,84,5
ABS_PHASE_72,85,6
ABS_PHASE_72,86,10
ABS_PHASE_72,87,8
ABS_PHASE_72,88,9
ABS_PHASE_72,89,6
ABS_PHASE_72,90,4
ABS_PHASE_72,91,11
ABS_PHASE_72,92,8
ABS_PHASE_72,93,7
ABS_PHASE_72,94,4
ABS_PHASE_72,95,4
ABS_PHASE_72,96,7
ABS_PHASE_72,97,10
ABS_PHASE_72,98,8
ABS_PHASE_72,99,8
KAPPA_CYCLE_36,0,5
KAPPA_CYCLE_36,1,3
KAPPA_CYCLE_36,2,1
KAPPA_CYCLE_36,3,1
KAPPA_CYCLE_36,4,2
KAPPA_CYCLE_36,5,2
KAPPA_CYCLE_36,6,6
KAPPA_CYCLE_36,7,6
KAPPA_CYCLE_36,8,4
KAPPA_CYCLE_36,9,1
KAPPA_CYCLE_36,10,6
KAPPA_CYCLE_36,11,4
KAPPA_CYCLE_36,12,3
KAPPA_CYCLE_36,13,1
KAPPA_CYCLE_36,14,1
KAPPA_CYCLE_36,15,2
KAPPA_CYCLE_36,16,2
KAPPA_CYCLE_36,17,6
KAPPA_CYCLE_36,18,6
KAPPA_CYCLE_36,19,4
KAPPA_CYCLE_36,20,1
KAPPA_CYCLE_36,21,6
KAPPA_CYCLE_36,22,4
KAPPA_CYCLE_36,23,3
KAPPA_CYCLE_36,24,1
KAPPA_CYCLE_36,25,1
KAPPA_CYCLE_36,26,2
KAPPA_CYCLE_36,27,2
KAPPA_CYCLE_36,28,6
KAPPA_CYCLE_36,29,6
KAPPA_CYCLE_36,30,4
KAPPA_CYCLE_36,31,1
KAPPA_CYCLE_36,32,6
KAPPA_CYCLE_36,33,4
KAPPA_CYCLE_36,34,3
KAPPA_CYCLE_36,35,1
KAPPA_CYCLE_36,36,1
KAPPA_CYCLE_36,37,2
KAPPA_CYCLE_36,38,2
KAPPA_CYCLE_36,39,6
KAPPA_CYCLE_36,40,6
KAPPA_CYCLE_36,41,4
KAPPA_CYCLE_36,42,1
KAPPA_CYCLE_36,43,6
KAPPA_CYCLE_36,44,4
KAPPA_CYCLE_36,45,3
KAPPA_CYCLE_36,46,1
KAPPA_CYCLE_36,47,1
KAPPA_CYCLE_36,48,2
KAPPA_CYCLE_36,49,2
KAPPA_CYCLE_36,50,6
KAPPA_CYCLE_36,51,6
KAPPA_CYCLE_36,52,4
