corpus,magnitude_centideg,positive_count,negative_count,absolute_count,is_target_magnitude,is_prespecified_comparator
ABS_PHASE_72,1,0,1,1,0,0
ABS_PHASE_72,2,0,6,6,0,0
ABS_PHASE_72,3,0,10,10,0,0
ABS_PHASE_72,4,0,12,12,0,0
ABS_PHASE_72,5,0,5,5,0,0
ABS_PHASE_72,6,0,7,7,0,0
ABS_PHASE_72,7,0,3,3,0,0
ABS_PHASE_72,8,0,1,1,0,0
ABS_PHASE_72,9,0,0,0,0,0
ABS_PHASE_72,10,0,2,2,0,1
ABS_PHASE_72,11,0,2,2,1,0
ABS_PHASE_72,12,0,1,1,0,1
ABS_PHASE_72,13,0,1,1,0,0
ABS_PHASE_72,14,0,0,0,0,0
ABS_PHASE_72,15,0,0,0,0,0
ABS_PHASE_72,16,0,1,1,0,0
ABS_PHASE_72,17,0,0,0,0,1
ABS_PHASE_72,18,0,0,0,0,0
ABS_PHASE_72,19,0,0,0,0,0
ABS_PHASE_72,20,0,1,1,0,0
ABS_PHASE_72,21,0,1,1,0,0
ABS_PHASE_72,22,0,1,1,0,0
ABS_PHASE_72,23,0,0,0,0,0
ABS_PHASE_72,24,0,1,1,0,0
ABS_PHASE_72,25,1,1,2,0,0
KAPPA_CYCLE_36,1,5,1,6,0,0
KAPPA_CYCLE_36,2,3,0,3,0,0
KAPPA_CYCLE_36,3,4,0,4,0,0
KAPPA_CYCLE_36,4,2,0,2,0,0
KAPPA_CYCLE_36,5,1,0,1,0,0
KAPPA_CYCLE_36,6,2,0,2,0,0
KAPPA_CYCLE_36,7,1,1,2,0,0
KAPPA_CYCLE_36,8,0,0,0,0,0
KAPPA_CYCLE_36,9,0,0,0,0,0
KAPPA_CYCLE_36,10,2,0,2,0,1
KAPPA_CYCLE_36,11,1,0,1,1,0
KAPPA_CYCLE_36,12,1,0,1,0,1
KAPPA_CYCLE_36,13,0,0,0,0,0
KAPPA_CYCLE_36,14,1,0,1,0,0
KAPPA_CYCLE_36,15,0,0,0,0,0
KAPPA_CYCLE_36,16,0,0,0,0,0
KAPPA_CYCLE_36,17,0,0,0,0,1
KAPPA_CYCLE_36,18,0,0,0,0,0
KAPPA_CYCLE_36,19,0,0,0,0,0
KAPPA_CYCLE_36,20,0,0,0,0,0
KAPPA_CYCLE_36,21,0,0,0,0,0
KAPPA_CYCLE_36,22,0,0,0,0,0
KAPPA_CYCLE_36,23,0,0,0,0,0
KAPPA_CYCLE_36,24,1,0,1,0,0
KAPPA_CYCLE_36,25,0,0,0,0,0
