Time,Actuator1_Disp,Actuator1_Force,Actuator2_Disp,Actuator2_Force
0.0,0.0010799624,-0.58524781,-0.0067722946,0.50101507
0.001953125,-0.0064011728,-0.56196618,0.0018610656,0.50613755
0.00390625,-0.0032280369,-0.58613902,-0.0050176829,0.45497304
0.005859375,-0.0060637644,-0.63081163,-0.005757153,0.45441079
0.0078125,-0.00058930868,-0.60402149,0.0033176541,0.50807285
0.009765625,0.0033648624,-0.54560018,-0.012520418,0.5281294
0.01171875,0.0010539498,-0.56049657,-0.0070051253,0.48937777
0.013671875,0.0042748782,-0.62501353,0.014514014,0.47940189
0.015625,-0.0080708973,-0.61152375,0.0054894984,0.5204072
0.017578125,-0.0020958483,-0.54945052,-0.008649841,0.53232473
0.01953125,0.013676117,-0.52395231,-0.01209946,0.49963441
0.021484375,-0.0032664174,-0.52641332,-0.0068374872,0.49973986
0.0234375,-0.011376537,-0.54756647,0.0068473667,0.55511367
0.025390625,0.0031467027,-0.52227426,-0.00014314055,0.57980138
0.02734375,-0.00028111401,-0.42549866,-0.00032567978,0.59101498
0.029296875,0.0010033525,-0.24595022,0.0056310594,0.5973292
0.03125,0.0079531418,-0.12421838,0.0059234947,0.7371304
0.033203125,0.005778675,0.031444736,0.025691748,0.82797045
0.03515625,0.012635865,0.22761188,0.008179158,0.77629775
0.037109375,0.015393498,0.18328279,-0.0020467639,0.90666181
0.0390625,0.024164252,0.14343767,0.023404419,0.76747543
0.041015625,0.031025298,0.17344604,0.030506685,0.58984202
0.04296875,0.043526512,0.18449876,0.035535827,0.82099551
0.044921875,0.05585647,0.17902945,0.048956186,0.91669554
0.046875,0.048452042,0.19946127,0.044627398,0.78567708
0.048828125,0.073859066,0.25152999,0.046627879,0.74577773
0.05078125,0.097678632,0.24690086,0.077257216,0.90200657
0.052734375,0.11472873,0.33828887,0.08693552,1.059519
0.0546875,0.14025036,0.34310356,0.10569422,0.99356252
0.056640625,0.15333243,0.2198904,0.12536189,0.83202863
0.05859375,0.18625599,0.23514512,0.15240377,0.91229832
0.060546875,0.21304524,0.39713565,0.17993739,1.101517
0.0625,0.243172,0.52913225,0.21555303,1.0745061
0.064453125,0.28201565,0.43743747,0.26217133,0.95083189
0.06640625,0.31932089,0.3564747,0.27836144,1.0317657
0.068359375,0.36266866,0.41481587,0.32949102,1.1770925
0.0703125,0.40115875,0.49115893,0.35712898,1.1912387
0.072265625,0.44909585,0.50098449,0.38366419,1.2261192
0.07421875,0.49321207,0.39196682,0.44275662,1.2619091
0.076171875,0.54075718,0.39622888,0.49467599,1.3436607
0.078125,0.59170979,0.51955426,0.55194116,1.4675018
0.080078125,0.64221001,0.57857323,0.60425544,1.4452259
0.08203125,0.70701504,0.49203834,0.66712153,1.3369911
0.083984375,0.76821333,0.4419978,0.72334361,1.430384
0.0859375,0.83181655,0.55704618,0.77374309,1.6987843
0.087890625,0.89938873,0.54122663,0.85825127,1.7558596
0.08984375,0.96330673,0.43641102,0.94096208,1.6754951
0.091796875,1.0407571,0.47015098,1.0070468,1.808691
0.09375,1.1165584,0.67259967,1.0811744,1.9296523
0.095703125,1.1950635,0.80595881,1.1516999,1.8305333
0.09765625,1.2881107,0.70504683,1.2370071,1.940448
0.099609375,1.3726611,0.71092427,1.3306888,2.2818665
0.1015625,1.471958,0.90548062,1.4264475,2.3520536
0.10351563,1.576255,0.97829908,1.5053155,2.2054843
0.10546875,1.6661304,0.92889965,1.5890545,2.2563262
0.10742188,1.7653644,1.0166398,1.6887917,2.5600111
0.109375,1.8792572,1.2531828,1.7981811,2.7560863
0.11132813,1.9909468,1.4417008,1.90576,2.7500867
0.11328125,2.0971784,1.44448,2.0171761,2.8040168
0.11523438,2.2087788,1.3798928,2.147917,2.9305484
0.1171875,2.3264517,1.5688327,2.254842,3.1482725
0.11914063,2.4570291,1.9176906,2.3850262,3.2215895
0.12109375,2.5831363,1.9982553,2.5234503,3.103512
0.12304688,2.7095949,1.8643368,2.6570711,3.2919857
0.125,2.8527841,1.9949643,2.7891883,3.5930697
0.12695313,2.9995732,2.3465356,2.9219932,3.571361
