Time,Actuator1_Disp,Actuator1_Force,Actuator2_Disp,Actuator2_Force
0.0,-0.0045922869,-0.34867913,0.0072795004,0.17659287
0.001953125,0.0047605271,-0.36175907,0.007942602,0.16629361
0.00390625,-0.00011911169,-0.34304136,0.015959427,0.14019719
0.005859375,-0.0062774275,-0.33159226,-0.0024602711,0.14209141
0.0078125,0.0047620093,-0.34736392,0.0029488504,0.16530754
0.009765625,0.0058450927,-0.34763849,0.0072981268,0.16581295
0.01171875,0.0028749586,-0.33283523,-0.014779806,0.15194716
0.013671875,-0.0051503684,-0.34004855,-0.013801917,0.15002172
0.015625,-0.0079555251,-0.33299077,0.0088608861,0.1568642
0.017578125,0.0042246892,-0.3214232,0.00032065809,0.16574587
0.01953125,0.0016243011,-0.3079944,-0.0053250194,0.16817705
0.021484375,-0.00071710063,-0.2936855,0.0030587465,0.1572126
0.0234375,0.0054320996,-0.27093452,-0.013615653,0.16648173
0.025390625,0.0060156225,-0.24326725,-0.00060880184,0.21513033
0.02734375,-0.00043906161,-0.17897992,0.0028445423,0.24269803
0.029296875,-0.0019749207,-0.062051903,-0.0028029978,0.32180551
0.03125,0.0015091491,0.11416876,0.0039826185,0.43895757
0.033203125,0.010046773,0.35556048,0.0086243302,0.48504615
0.03515625,0.01976563,0.47034097,0.017112404,0.5641259
0.037109375,0.017470565,0.42006469,0.013076052,0.6678161
0.0390625,0.027747279,0.32214054,0.020724073,0.78437567
0.041015625,0.03433964,0.28953308,0.0043532848,0.8502425
0.04296875,0.037598953,0.35619912,0.0099188685,0.77231711
0.044921875,0.057684056,0.44080907,0.022080079,0.69948554
0.046875,0.070653185,0.46260273,0.031620547,0.79252744
0.048828125,0.079680592,0.42776963,0.052735493,0.92440969
0.05078125,0.09505792,0.38395581,0.053193703,0.86497897
0.052734375,0.11725484,0.43293476,0.073489085,0.74846655
0.0546875,0.14066155,0.59344143,0.099772871,0.80943024
0.056640625,0.15912434,0.57530081,0.12675329,1.0016542
0.05859375,0.1854881,0.39490384,0.15172018,1.0252467
0.060546875,0.22149758,0.43195313,0.18409854,0.83682865
