pair,actuator,path_index,center_sample,ordinal_time_a_s,ordinal_time_b_s,normalized_u,theta_a_deg,theta_b_deg,kappa_ordinal_deg,janus_reverse_deg,janus_antisymmetry_error_deg,pairing_status
P05_BEFORE_AFTER_EQ,1,0,512,1.0,1.0,0.0,6.626598348276332,5.882432561986917,-0.7441657862894147,0.7441657862894147,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,1,640,1.25,1.25,0.013888888888888888,5.915041630951407,4.926870884236678,-0.9881707467147294,0.9881707467147294,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,2,768,1.5,1.5,0.027777777777777776,5.705852579426704,4.744039001732148,-0.9618135776945564,0.9618135776945564,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,3,896,1.75,1.75,0.041666666666666664,5.55874805343214,4.537657918174034,-1.021090135258106,1.021090135258106,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,4,1024,2.0,2.0,0.05555555555555555,5.258591155985243,4.386123017018463,-0.8724681389667808,0.8724681389667808,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,5,1152,2.25,2.25,0.06944444444444445,5.476980362249549,4.7943153169912875,-0.6826650452582612,0.6826650452582612,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,6,1280,2.5,2.5,0.08333333333333333,5.5778277740130875,4.887013494389123,-0.6908142796239645,0.6908142796239645,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,7,1408,2.75,2.75,0.09722222222222222,5.722552554088196,5.098022209600543,-0.6245303444876527,0.6245303444876527,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,8,1536,3.0,3.0,0.1111111111111111,5.883172319390411,5.199952943755818,-0.683219375634593,0.683219375634593,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,9,1664,3.25,3.25,0.125,5.621335318724874,4.787953776849747,-0.8333815418751271,0.8333815418751271,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,10,1792,3.5,3.5,0.1388888888888889,5.524816508724797,4.701256811887163,-0.8235596968376342,0.8235596968376342,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,11,1920,3.75,3.75,0.1527777777777778,5.357275376519283,4.488010825857714,-0.869264550661569,0.869264550661569,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,12,2048,4.0,4.0,0.16666666666666666,5.121356722728677,4.3541490414415875,-0.7672076812870898,0.7672076812870898,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,13,2176,4.25,4.25,0.18055555555555555,5.380748310237919,4.7565194224324046,-0.6242288878055149,0.6242288878055149,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,14,2304,4.5,4.5,0.19444444444444445,5.480171051478749,4.8450198640172175,-0.6351511874615312,0.6351511874615312,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,15,2432,4.75,4.75,0.20833333333333334,5.619997972221569,5.040364922685285,-0.5796330495362838,0.5796330495362838,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,16,2560,5.0,5.0,0.2222222222222222,5.774498285412903,5.134021204604494,-0.6404770808084095,0.6404770808084095,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,17,2688,5.25,5.25,0.2361111111111111,5.519948898027764,4.743027120070764,-0.7769217779569999,0.7769217779569999,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,18,2816,5.5,5.5,0.25,5.434674664753402,4.662600094756812,-0.7720745699965903,0.7720745699965903,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,19,2944,5.75,5.75,0.2638888888888889,5.267229063374515,4.457003819737963,-0.8102252436365518,0.8102252436365518,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,20,3072,6.0,6.0,0.2777777777777778,5.054664863054342,4.338198813940096,-0.7164660491142456,0.7164660491142456,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,21,3200,6.25,6.25,0.2916666666666667,5.318599605604334,4.729305934459916,-0.5892936711444179,0.5892936711444179,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,22,3328,6.5,6.5,0.3055555555555556,5.414318115593204,4.810915623422716,-0.6034024921704884,0.6034024921704884,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
P05_BEFORE_AFTER_EQ,1,23,3456,6.75,6.75,0.3194444444444444,5.552525436016907,4.999123025021021,-0.5534024109958864,0.5534024109958864,0.0,ORDINAL_WINDOW_INDEX_NOT_PHYSICAL_SAMPLE_SYNCHRONY
