integer,parity,prime_status,prime_index,prime_factorization,distinct_prime_factors,total_prime_factor_multiplicity,perfect_power_status,square_status,semiprime_status,divisor_count,seed_packets
2,EVEN,PRIME,1,2,1,1,NO,NO,NO,2,A
3,ODD,PRIME,2,3,1,1,NO,NO,NO,2,A
4,EVEN,COMPOSITE,,2^2,1,2,YES,YES,YES,3,A
5,ODD,PRIME,3,5,1,1,NO,NO,NO,2,A
11,ODD,PRIME,5,11,1,1,NO,NO,NO,2,I
13,ODD,PRIME,6,13,1,1,NO,NO,NO,2,I
23,ODD,PRIME,9,23,1,1,NO,NO,NO,2,B
24,EVEN,COMPOSITE,,2^3*3,2,4,NO,NO,NO,8,B|J
25,ODD,COMPOSITE,,5^2,1,2,YES,YES,YES,3,B
29,ODD,PRIME,10,29,1,1,NO,NO,NO,2,D|E
31,ODD,PRIME,11,31,1,1,NO,NO,NO,2,D|F
32,EVEN,COMPOSITE,,2^5,1,5,YES,NO,NO,6,D|E
33,ODD,COMPOSITE,,3*11,2,2,NO,NO,YES,4,D|F|K
34,EVEN,COMPOSITE,,2*17,2,2,NO,NO,YES,4,D|E
35,ODD,COMPOSITE,,5*7,2,2,NO,NO,YES,4,D|F
39,ODD,COMPOSITE,,3*13,2,2,NO,NO,YES,4,G
41,ODD,PRIME,13,41,1,1,NO,NO,NO,2,G
42,EVEN,COMPOSITE,,2*3*7,3,3,NO,NO,NO,8,H
43,ODD,PRIME,14,43,1,1,NO,NO,NO,2,G
44,EVEN,COMPOSITE,,2^2*11,2,3,NO,NO,NO,6,H
45,ODD,COMPOSITE,,3^2*5,2,3,NO,NO,NO,6,G
46,EVEN,COMPOSITE,,2*23,2,2,NO,NO,YES,4,H
99,ODD,COMPOSITE,,3^2*11,2,3,NO,NO,NO,6,K
232,EVEN,COMPOSITE,,2^3*29,2,4,NO,NO,NO,8,C
425,ODD,COMPOSITE,,5^2*17,2,3,NO,NO,NO,6,C
