corpus,record_id,value_kind,source_phase_deg,view,view_value,operator,precision,quantized,residual,normalized_residual,digit_string,integer_code,prefix_2,prefix_3,palindrome,prime_code,factorization,mod_2,mod_3,seam_reconstruction_exact
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,ROUND_HALF_UP,2,6.02,-0.001267601414089,-0.1267601414089,02,2,02,,False,True,2,0,2,True
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,ROUND_HALF_UP,3,6.019,-0.000267601414089,-0.267601414089,019,19,01,019,False,True,19,1,1,True
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,ROUND_HALF_UP,4,6.0187,0.000032398585911,0.32398585911,0187,187,01,018,False,False,11*17,1,1,True
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,ROUND_HALF_UP,5,6.01873,0.000002398585911,0.2398585911,01873,1873,01,018,False,True,1873,1,1,True
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,ROUND_HALF_UP,6,6.018732,3.98585911E-7,0.398585911,018732,18732,01,018,False,False,2^2*3*7*223,0,0,True
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,TRUNCATE_TOWARD_ZERO,2,6.01,0.008732398585911,0.8732398585911,01,1,01,,False,False,UNIT,1,1,True
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,TRUNCATE_TOWARD_ZERO,3,6.018,0.000732398585911,0.732398585911,018,18,01,018,False,False,2*3^2,0,0,True
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,TRUNCATE_TOWARD_ZERO,4,6.0187,0.000032398585911,0.32398585911,0187,187,01,018,False,False,11*17,1,1,True
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,TRUNCATE_TOWARD_ZERO,5,6.01873,0.000002398585911,0.2398585911,01873,1873,01,018,False,True,1873,1,1,True
CYCLE_72,cycle::P05_BEFORE_AFTER_EQ::A::a1::c1,cycle_phase,6.018732398585911,degrees,6.018732398585911,TRUNCATE_TOWARD_ZERO,6,6.018732,3.98585911E-7,0.398585911,018732,18732,01,018,False,False,2^2*3*7*223,0,0,True
