corpus,view,operator,precision,record_count,palindrome_count,palindrome_fraction,palindrome_uniform_digit_null,palindrome_enrichment_p,prime_code_count,prime_code_fraction,prime_code_uniform_integer_null,prime_code_enrichment_p,palindrome_enrichment_fdr,prime_code_enrichment_fdr
CYCLE_72,cycle_fraction,ROUND_HALF_UP,2,72,0,0.0,0.1,1.0,16,0.2222222222222222,0.25,0.7478147597807934,1.0,1.0
CYCLE_72,cycle_fraction,ROUND_HALF_UP,3,72,0,0.0,0.1,1.0,20,0.2777777777777778,0.168,0.01338501296120783,1.0,0.5354005184483132
CYCLE_72,cycle_fraction,ROUND_HALF_UP,4,72,0,0.0,0.01,1.0,16,0.2222222222222222,0.1229,0.01285234679892487,1.0,0.5354005184483132
CYCLE_72,cycle_fraction,ROUND_HALF_UP,5,72,0,0.0,0.01,1.0,15,0.20833333333333334,0.09592,0.0030993664997292017,1.0,0.5354005184483132
CYCLE_72,cycle_fraction,ROUND_HALF_UP,6,72,0,0.0,0.001,1.0,10,0.1388888888888889,0.078498,0.05433116084607654,1.0,0.7761594406582363
CYCLE_72,cycle_fraction,TRUNCATE_TOWARD_ZERO,2,72,0,0.0,0.1,1.0,0,0.0,0.25,1.0,1.0,1.0
CYCLE_72,cycle_fraction,TRUNCATE_TOWARD_ZERO,3,72,0,0.0,0.1,1.0,20,0.2777777777777778,0.168,0.01338501296120783,1.0,0.5354005184483132
CYCLE_72,cycle_fraction,TRUNCATE_TOWARD_ZERO,4,72,0,0.0,0.01,1.0,14,0.19444444444444445,0.1229,0.0539691138423815,1.0,0.7761594406582363
CYCLE_72,cycle_fraction,TRUNCATE_TOWARD_ZERO,5,72,1,0.013888888888888888,0.01,0.5150086297258368,9,0.125,0.09592,0.251394809317663,1.0,1.0
CYCLE_72,cycle_fraction,TRUNCATE_TOWARD_ZERO,6,72,0,0.0,0.001,1.0,7,0.09722222222222222,0.078498,0.33556772265343177,1.0,1.0
CYCLE_72,degrees,ROUND_HALF_UP,2,72,7,0.09722222222222222,0.1,0.5888462653120128,19,0.2638888888888889,0.25,0.43710837509411954,1.0,1.0
CYCLE_72,degrees,ROUND_HALF_UP,3,72,13,0.18055555555555555,0.1,0.0253779230735855,16,0.2222222222222222,0.168,0.14226214439741663,0.5460219159773805,1.0
CYCLE_72,degrees,ROUND_HALF_UP,4,72,2,0.027777777777777776,0.01,0.16228763316280911,7,0.09722222222222222,0.1229,0.796853195279205,1.0,1.0
