record_id,value_kind,observed_phase_deg,observed_digit_string,observed_integer_code,observed_palindrome,observed_factorization,identical_code_bootstrap_fraction,any_palindrome_bootstrap_fraction,same_mod2_bootstrap_fraction,same_mod3_bootstrap_fraction,bootstrap_phase_95_interval_deg
summary::cut_mean::P05_BEFORE_AFTER_EQ::A::a1,cut_circular_mean,5.431220645107146,431,431,False,431,0.0086,0.11965,0.49735,0.3398,"[5.293451341026866, 5.605047061114902]"
summary::cut_mean::P05_BEFORE_AFTER_EQ::B::a1,cut_circular_mean,4.735000682493023,735,735,False,3*5*7^2,0.00735,0.0967,0.49345,0.32315,"[4.652929517715364, 4.833571627356356]"
summary::pair_shift::P05_BEFORE_AFTER_EQ::a1,paired_circular_mean_shift,-0.6962206653352894,696,696,True,2^3*3*29,0.0126,0.0968,0.4912,0.3358,"[-0.776480040782161, -0.6385832875623692]"
summary::cut_mean::P05_BEFORE_AFTER_EQ::A::a2,cut_circular_mean,4.879952997070546,880,880,False,2^4*5*11,0.0045,0.08275,0.4689,0.3313,"[4.754775172135766, 5.0192999584682525]"
summary::cut_mean::P05_BEFORE_AFTER_EQ::B::a2,cut_circular_mean,4.438855962158243,439,439,False,439,0.00875,0.0963,0.49455,0.3348,"[4.352241427969884, 4.544266430255021]"
summary::pair_shift::P05_BEFORE_AFTER_EQ::a2,paired_circular_mean_shift,-0.4410970520339106,441,441,False,3^2*7^2,0.02385,0.09365,0.5007,0.3635,"[-0.487659366930302, -0.3951444038283114]"
summary::cut_mean::P10_BEFORE_AFTER_EQ::A::a1,cut_circular_mean,5.5843239350911915,584,584,False,2^3*73,0.01275,0.08195,0.4922,0.31625,"[5.39336486299743, 5.801702522256903]"
summary::cut_mean::P10_BEFORE_AFTER_EQ::B::a1,cut_circular_mean,5.3175687177826205,318,318,False,2*3*53,0.019,0.0964,0.5992,0.36845,"[5.208277176094354, 5.442110609135142]"
summary::pair_shift::P10_BEFORE_AFTER_EQ::a1,paired_circular_mean_shift,-0.26675592284877325,267,267,False,3*89,0.02405,0.10915,0.5454,0.335,"[-0.3633026737549585, -0.18768460802394316]"
summary::cut_mean::P10_BEFORE_AFTER_EQ::A::a2,cut_circular_mean,5.392686782380991,393,393,True,3*131,0.01175,0.1149,0.50945,0.3373,"[5.163823653998037, 5.667331609174084]"
summary::cut_mean::P10_BEFORE_AFTER_EQ::B::a2,cut_circular_mean,5.133715680596964,134,134,False,2*67,0.01435,0.0813,0.5176,0.3632,"[4.996165702552787, 5.292314916284198]"
summary::pair_shift::P10_BEFORE_AFTER_EQ::a2,paired_circular_mean_shift,-0.2589726695622403,259,259,False,7*37,0.02055,0.09145,0.4964,0.4646,"[-0.3773672241121915, -0.1677986601544319]"
